code,description
0,EQ (EQUITY)
1,PREFSHARES
2,DEBENTURES
3,WARRANTS
4,MISC
10,INDEX
11,FUTIDX
12,FUTIVX
13,FUTSTK
14,OPTIDX
15,OPTSTK
16,FUTCUR
17,FUTIRT
18,FUTIRC
19,OPTCUR
20,UNDCUR
21,UNDIRC
22,UNDIRT
23,UNDIRD
24,INDEX_CD
25,FUTIRD
11,FUTIDX
30,FUTCOM
31,OPTFUT
32,OPTCOM
